category,name,value,unit,version
charged_leptons,mu_over_e_delta_pct,0.278,percent,v21
charged_leptons,tau_over_mu_delta_pct,-0.278,percent,v21
charged_leptons,tau_over_e_delta_pct,0.006,percent,v21
quarks_down,s_over_d_delta_pct,0.32,percent,v15
quarks_down,b_over_s_delta_pct,-0.081,percent,v15
quarks_down,b_over_d_delta_pct,0.249,percent,v15
quarks_up,c_over_u_delta_pct,-0.211,percent,v15
quarks_up,t_over_c_delta_pct,0.003,percent,v15
quarks_up,t_over_u_delta_pct,-0.205,percent,v15
bosons,Z_over_W_delta_pct,-0.104,percent,v16b
bosons,H_over_Z_delta_pct,0.02,percent,v16b
bosons,H_over_W_delta_pct,-0.09,percent,v16b
ckm,V11,0.9743,,v19
ckm,V12,0.2254,,v19
ckm,V13,0.0036,,v19
ckm,V21,0.2253,,v19
ckm,V22,0.9734,,v19
ckm,V23,0.0412,,v19
ckm,V31,0.0086,,v19
ckm,V32,0.0404,,v19
ckm,V33,0.9991,,v19
ckm,lambda,0.225368,,v19
ckm,A,0.812,,v19
ckm,rho_bar,0.12,,v19
ckm,eta_bar,0.371,,v19
ckm,alpha_deg,85.1,deg,v19
ckm,beta_deg,23.1,deg,v19
ckm,gamma_deg,71.8,deg,v19
ckm,J,3.179339e-05,,v19
pmns,theta12_deg,33.24,deg,v18
pmns,theta23_deg,47.16,deg,v18
pmns,theta13_deg,7.72,deg,v18
pmns,delta_CP_deg,-89.7,deg,v18
pmns,J_CP,-0.032,,v18
neutrinos,ordering,NO,,v21
neutrinos,rungs,7 9 12,,v21
neutrinos,m1_meV,2.0806,meV,v21
neutrinos,m2_meV,9.0225,meV,v21
neutrinos,m3_meV,49.427,meV,v21
neutrinos,sum_mnu_meV,60.53,meV,v21
neutrinos,delta_m21_sq_eV2,7.71e-05,eV^2,v21
neutrinos,delta_m31_sq_eV2,0.00244,eV^2,v21
neutrinos,m_beta_meV,8.461,meV,v21
neutrinos,dirac,True,,v21
